Timestamp,"What is your full name? (First Name, Last Name)",McGill Email (@mail.mcgill.ca),Program,What is your current year in the program? (first year of BNI is U2),Language Preference,What are your nursing specialty interests?,Optional: What are your extracurricular interests?,Optional: How do you identify? (Select all that apply),Optional: Do you identify as LGBTQ+?,"Optional: If you know of a NPMP mentor that you would like to be paired with, please fill in the mentor's name.",Are you interested in being part of the NPMP Organizing Committee? For more info: https://www.mcgill.ca/nursing/students/student-resources/nursing-peer-mentorship-program-npmp
03/13/2026 00:01:16,Ryan Torres,ryan.torres@mail.mcgill.ca,BSc(N),U0 (Undergraduate Year 0),"English, Spanish",public health,"volunteering, arts",black / african american,No,,Yes
03/13/2026 00:01:16,Justin Klein,justin.klein@mail.mcgill.ca,BNI Online,U1 (Undergraduate Year 1),French,,,black / african american,Yes,,Yes
03/13/2026 00:01:16,Amy Rodriguez,amy.rodriguez@mail.mcgill.ca,BNI On Campus,U2 (Undergraduate Year 2),"English, Spanish",emergency medicine,,indigenous,Yes,,Yes
03/13/2026 00:01:16,Anthony Reed,anthony.reed@mail.mcgill.ca,MScA in Nursing (Direct Entry),M1 (Masters Year 1),"English, French, Spanish","public health, ",,indigenous,Yes,,Yes
03/13/2026 00:01:16,Stephanie Jones,stephanie.jones@mail.mcgill.ca,MScA in Advanced Nursing (Nurse Entry),M1 (Masters Year 1),"English, Mandarin","home health, pediatrics, ",", volunteering, arts",white / caucasian,Prefer not to answer,,Yes
03/13/2026 00:01:16,Danielle Delgado,danielle.delgado@mail.mcgill.ca,MScA in Nurse Practitioner,M2 (Masters Year 2),"English, French, Hindi","Critical Care / ICUgeriatrics, community, ","research, volunteering, sports",hispanic / latino,No,,Yes
03/13/2026 00:01:16,Travis Rogers,travis.rogers@mail.mcgill.ca,BSc(N),U2 (Undergraduate Year 2),"French, English",,,middle_eastern,Prefer not to answer,,Yes
03/13/2026 00:01:16,Angela Contreras,angela.contreras@mail.mcgill.ca,BNI Online,U0 (Undergraduate Year 0),English,"emergency, community","student_council, arts, volunteering",indigenous,Yes,,Yes
03/13/2026 00:01:16,Sarah Tucker,sarah.tucker@mail.mcgill.ca,BNI On Campus,U1 (Undergraduate Year 1),English,", public health, obstetrics / labor & delivery","student_council, arts, sports",indigenous,Yes,,Yes
03/13/2026 00:01:16,William Moore,william.moore@mail.mcgill.ca,MScA in Nursing (Direct Entry),M1 (Masters Year 1),French,community,,asian / asian american,No,,Yes
03/13/2026 00:01:16,Lauren Mcgee,lauren.mcgee@mail.mcgill.ca,MScA in Advanced Nursing (Nurse Entry),M1 (Masters Year 1),"French, English","pediatrics, home health","research, sports, volunteering",indigenous,Prefer not to answer,,Yes
03/13/2026 00:01:16,Frederick Welch,frederick.welch@mail.mcgill.ca,MScA in Nurse Practitioner,M1 (Masters Year 1),"French, English, Mandarin","home health, emergency medicine, public health",,white / caucasian,Yes,,Yes
03/13/2026 00:01:16,Joseph Horton,joseph.horton@mail.mcgill.ca,BSc(N),U2 (Undergraduate Year 2),"English, French",,,hispanic / latino,No,,Yes
03/13/2026 00:01:16,Kimberly Burns,kimberly.burns@mail.mcgill.ca,BNI Online,U2 (Undergraduate Year 2),French,"medical-surgical nursingoncology, public health","sports, arts, ",other,Prefer not to answer,,Yes
03/13/2026 00:01:16,Abigail Foster,abigail.foster@mail.mcgill.ca,BNI On Campus,U0 (Undergraduate Year 0),"French, Spanish","medical-surgical nursingoncology, emergency medicine, emergency","research, sports",hispanic / latino,Prefer not to answer,,Yes
03/13/2026 00:01:16,Chad Miller,chad.miller@mail.mcgill.ca,MScA in Nursing (Direct Entry),M1 (Masters Year 1),French,,"sports, ",black / african american,Prefer not to answer,,Yes
03/13/2026 00:01:16,Thomas Jordan,thomas.jordan@mail.mcgill.ca,MScA in Advanced Nursing (Nurse Entry),M1 (Masters Year 1),French,home health,student_council,other,Yes,,Yes
03/13/2026 00:01:16,Deborah Stevens,deborah.stevens@mail.mcgill.ca,MScA in Nurse Practitioner,M1 (Masters Year 1),"French, English",,,asian / asian american,No,,Yes
03/13/2026 00:01:16,Matthew Randall,matthew.randall@mail.mcgill.ca,BSc(N),U0 (Undergraduate Year 0),"French, English","emergency medicine, pediatrics, Critical Care / ICUgeriatrics",", sports, volunteering",asian / asian american,Prefer not to answer,,Yes
03/13/2026 00:01:16,Christopher Smith,christopher.smith@mail.mcgill.ca,BNI Online,U0 (Undergraduate Year 0),English,,student_council,asian / asian american,No,,Yes
03/13/2026 00:01:16,Christopher Bates,christopher.bates@mail.mcgill.ca,BNI On Campus,U2 (Undergraduate Year 2),"French, English",,,asian / asian american,Prefer not to answer,,Yes
03/13/2026 00:01:16,Gail Matthews,gail.matthews@mail.mcgill.ca,MScA in Nursing (Direct Entry),M2 (Masters Year 2),"English, French",,,hispanic / latino,No,,Yes
03/13/2026 00:01:16,Dana Bean,dana.bean@mail.mcgill.ca,MScA in Advanced Nursing (Nurse Entry),M2 (Masters Year 2),English,,sports,white / caucasian,No,,Yes
03/13/2026 00:01:16,Sara Peterson,sara.peterson@mail.mcgill.ca,MScA in Nurse Practitioner,M2 (Masters Year 2),French,"emergency medicine, obstetrics / labor & delivery, emergency","volunteering, arts",black / african american,Yes,,Yes
03/13/2026 00:01:16,Latoya Guzman,latoya.guzman@mail.mcgill.ca,BSc(N),U3 (Undergraduate Year 3),"French, English","medical-surgical nursingoncology, community, emergency",", sports",other,Prefer not to answer,,Yes
03/13/2026 00:01:16,Daniel Francis,daniel.francis@mail.mcgill.ca,BNI Online,U0 (Undergraduate Year 0),"English, French",,"research, arts, ",indigenous,Yes,,Yes
03/13/2026 00:01:16,Emma Clark,emma.clark@mail.mcgill.ca,BNI On Campus,U0 (Undergraduate Year 0),"English, Arabic",pediatrics,"student_council, arts",middle_eastern,Yes,,Yes
03/13/2026 00:01:16,Heather Woods,heather.woods@mail.mcgill.ca,MScA in Nursing (Direct Entry),M1 (Masters Year 1),"English, French, Hindi",,student_council,black / african american,Prefer not to answer,,Yes
03/13/2026 00:01:16,Zachary Warren,zachary.warren@mail.mcgill.ca,MScA in Advanced Nursing (Nurse Entry),M1 (Masters Year 1),"English, French","community, obstetrics / labor & delivery, public health",", volunteering",other,Prefer not to answer,,Yes
03/13/2026 00:01:16,Brett Taylor,brett.taylor@mail.mcgill.ca,MScA in Nurse Practitioner,M1 (Masters Year 1),English,"Critical Care / ICUgeriatrics, emergency medicine",", research, arts",other,Prefer not to answer,,Yes
03/13/2026 00:01:16,Alejandro Walter,alejandro.walter@mail.mcgill.ca,BSc(N),U2 (Undergraduate Year 2),"English, French","public health, emergency medicine, Critical Care / ICUgeriatrics","student_council, research",asian / asian american,Yes,,Yes
03/13/2026 00:01:16,Anthony Johnson,anthony.johnson@mail.mcgill.ca,BNI Online,U3 (Undergraduate Year 3),"English, Arabic","emergency, emergency medicine","student_council, sports",indigenous,Yes,,Yes
03/13/2026 00:01:16,Mary Pollard,mary.pollard@mail.mcgill.ca,BNI On Campus,U2 (Undergraduate Year 2),"French, English, Hindi",,"volunteering, , research",hispanic / latino,Yes,,Yes
03/13/2026 00:01:16,Jackie Rivera,jackie.rivera@mail.mcgill.ca,MScA in Nursing (Direct Entry),M2 (Masters Year 2),French,,"sports, volunteering",other,No,,Yes
03/13/2026 00:01:16,Mark Cervantes,mark.cervantes@mail.mcgill.ca,MScA in Advanced Nursing (Nurse Entry),M2 (Masters Year 2),English,"mental_health / psychiatry, public health, Critical Care / ICUgeriatrics",student_council,middle_eastern,Prefer not to answer,,Yes
03/13/2026 00:01:16,James Thompson,james.thompson@mail.mcgill.ca,MScA in Nurse Practitioner,M2 (Masters Year 2),"French, English, Hindi",,", arts, student_council",other,Prefer not to answer,,Yes
03/13/2026 00:01:16,Albert Grant,albert.grant@mail.mcgill.ca,BSc(N),U1 (Undergraduate Year 1),English,"medical-surgical nursingoncology, obstetrics / labor & delivery",,other,No,,Yes
03/13/2026 00:01:16,Jasmine Holland,jasmine.holland@mail.mcgill.ca,BNI Online,U2 (Undergraduate Year 2),"English, French",,"research, sports, ",hispanic / latino,Prefer not to answer,,Yes
03/13/2026 00:01:16,Wayne Henderson,wayne.henderson@mail.mcgill.ca,BNI On Campus,U3 (Undergraduate Year 3),"French, English",,,hispanic / latino,Yes,,Yes
03/13/2026 00:01:16,Benjamin Morales,benjamin.morales@mail.mcgill.ca,MScA in Nursing (Direct Entry),M1 (Masters Year 1),French,"medical-surgical nursingoncology, home health, mental_health / psychiatry","sports, arts, student_council",other,No,,Yes
03/13/2026 00:01:16,Kellie Wells,kellie.wells@mail.mcgill.ca,MScA in Advanced Nursing (Nurse Entry),M2 (Masters Year 2),"French, English","public health, Critical Care / ICUgeriatrics, medical-surgical nursingoncology","arts, student_council, sports",black / african american,Prefer not to answer,Troy Soto,Yes
03/13/2026 00:01:16,Jane Keller,jane.keller@mail.mcgill.ca,MScA in Nurse Practitioner,M1 (Masters Year 1),"English, French","community, emergency","student_council, arts",asian / asian american,Prefer not to answer,Steven Greene,Yes
03/13/2026 00:01:16,Craig Williams,craig.williams@mail.mcgill.ca,BSc(N),U0 (Undergraduate Year 0),French,emergency medicine,,indigenous,No,Ashley Wallace,Yes
03/13/2026 00:01:16,Tammy Valentine,tammy.valentine@mail.mcgill.ca,BNI Online,U1 (Undergraduate Year 1),English,mental_health / psychiatry,volunteering,middle_eastern,No,Erica Tyler,Yes
03/13/2026 00:01:16,Casey Sloan,casey.sloan@mail.mcgill.ca,BNI On Campus,U2 (Undergraduate Year 2),English,"public health, home health",,middle_eastern,Yes,Andrew Blair,Yes
03/13/2026 00:01:16,Crystal Marshall,crystal.marshall@mail.mcgill.ca,MScA in Nursing (Direct Entry),M1 (Masters Year 1),French,,student_council,middle_eastern,Prefer not to answer,Jennifer Young,Yes
03/13/2026 00:01:16,Joseph Elliott,joseph.elliott@mail.mcgill.ca,MScA in Advanced Nursing (Nurse Entry),M1 (Masters Year 1),English,pediatrics,"research, volunteering",white / caucasian,No,Dawn Mcdowell,Yes
03/13/2026 00:01:16,Dr. Susan Tran,dr..susan.tran@mail.mcgill.ca,MScA in Nurse Practitioner,Graduated,English,,"sports, arts, student_council",other,Prefer not to answer,,Yes
03/13/2026 00:01:16,Brooke Thompson,brooke.thompson@mail.mcgill.ca,BSc(N),U2 (Undergraduate Year 2),"English, French, Spanish",,"student_council, volunteering",other,No,,Yes
03/13/2026 00:01:16,Kristen Mullins,kristen.mullins@mail.mcgill.ca,BNI Online,U0 (Undergraduate Year 0),French,"pediatrics, emergency medicine, public health",,indigenous,Prefer not to answer,,Yes
